date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:51	691433/691433	---MCZ	200	added ('OK')	text/html	etag:W/%22b6f8f6720b9d954fe8f8a9e504b6ea97%22	https://www.ihelpcs.com/	./www.ihelpcs.com/index.html	(from )
09:37:51	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:37:51%20GMT	https://www.ihelpcs.com/t	./www.ihelpcs.com/t.0.delayed	(from https://www.ihelpcs.com/)
09:37:52	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:37:52%20GMT	https://www.ihelpcs.com/o	./www.ihelpcs.com/o.1.delayed	(from https://www.ihelpcs.com/)
09:37:54	1029/1029	---MCZ	200	added ('OK')	text/xml	date:Sat,%2021%20Mar%202026%2013:37:53%20GMT	https://www.ihelpcs.com/blog-feed.xml	./www.ihelpcs.com/blog-feed.xml	(from https://www.ihelpcs.com/)
09:37:55	701139/701139	---MCZ	200	added ('OK')	text/html	etag:W/%223db4640105fbcdc553b6c4131c56ec45%22	https://www.ihelpcs.com/contact_us	./www.ihelpcs.com/contact_us.html	(from https://www.ihelpcs.com/)
09:37:56	681361/681361	---MCZ	200	added ('OK')	text/html	etag:W/%22f472246fe9f570450478467154a3610b%22	https://www.ihelpcs.com/our-services	./www.ihelpcs.com/our-services.html	(from https://www.ihelpcs.com/)
09:37:57	670386/670386	---MCZ	200	added ('OK')	text/html	etag:W/%226b6e99566000f0c0843440caba81cb34%22	https://www.ihelpcs.com/copy-of-film-to-digital-dvd	./www.ihelpcs.com/copy-of-film-to-digital-dvd.html	(from https://www.ihelpcs.com/)
09:37:58	679577/679577	---MCZ	200	added ('OK')	text/html	etag:W/%22e394f7022ed48f7ba990c2456df64889%22	https://www.ihelpcs.com/copy-of-film-to-digital	./www.ihelpcs.com/copy-of-film-to-digital.html	(from https://www.ihelpcs.com/)
09:37:59	666888/666888	---MCZ	200	added ('OK')	text/html	etag:W/%229aa7d05d3a8a0477900edc4169365348%22	https://www.ihelpcs.com/about	./www.ihelpcs.com/about.html	(from https://www.ihelpcs.com/)
09:38:00	667329/667329	---MCZ	200	added ('OK')	text/html	etag:W/%22d2b3b88631b7950769547828c8cc469b%22	https://www.ihelpcs.com/testimonials	./www.ihelpcs.com/testimonials.html	(from https://www.ihelpcs.com/)
09:38:01	935069/935069	---MCZ	200	added ('OK')	text/html	etag:W/%22368bfe7c9a9e6a8ecde8aec78ece7cd2%22	https://www.ihelpcs.com/blog	./www.ihelpcs.com/blog.html	(from https://www.ihelpcs.com/)
09:38:01	2203/2203	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2021%20Mar%202026%2013:38:01%20GMT	https://www.ihelpcs.com/window.location.href	./www.ihelpcs.com/window.location.a.delayed	(from https://www.ihelpcs.com/)
09:38:03	489/489	---MCZ	200	added ('OK')	text/plain	etag:W/%221e9-P6t4EVsh/a6jtH15+OLIDwPTeA8%22	https://www.ihelpcs.com/robots.txt	./www.ihelpcs.com/robots.txt	(from https://www.ihelpcs.com/)
09:38:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202026%2013:38:02%20GMT	https://www.ihelpcs.com/envelope/	./www.ihelpcs.com/envelope/index.html	(from https://www.ihelpcs.com/)
